number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,city,zip code,exchange rate,unit price of residence space,unit price of building space,total cost,month,day,latitude,longitude
3,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,Seattle,WA 98116,6.761138743,35.57476509,0.731501019,2,5,2,47.563117,-122.397154
4,2.25,2160,8119,1.0,0,0,3,1080,1080,1966,1913,Bellevue,WA 98006,7.235229142,25.62363584,0.673297307,2,5,2,47.544356,-122.177011
3,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,Seattle,WA 98107,6.517622688,53.72856875,0.125887629,2,5,2,47.669681,-122.39195
3,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,North Bend,WA 98045,7.433178443,21.16507251,0.931749041,2,5,2,29.02166989,-82.06146179
3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Lake Forest Park,WA 98155,7.396501561,33.08325845,0.823058631,2,5,2,47.655202,-122.31840345
5,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,Bothell,WA 98011,7.394445538,27.17497157,0.362976239,2,5,2,47.769778,-122.222143
4,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,Maple Valley,WA 98038,6.608323589,18.47969466,0.637290743,2,5,2,47.375198,-122.021969
4,1.75,2190,125452,1.0,0,2,3,2190,0,1968,1997,Auburn,WA 98092,7.678168411,19.28437187,0.173611323,2,5,2,47.2704078,-122.0691105
4,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,Seattle,WA 98125,6.477085168,44.57218775,0.800590153,2,5,2,47.7010378,-122.3059328
4,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,Woodinville,WA 98072,6.955319279,25.03850074,0.080754899,2,5,2,38.84701157,-77.44524384
3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,Sammamish,WA 98075,6.563174597,27.00927889,0.147838292,3,5,2,47.574618,-122.034539
4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,Redmond,WA 98052,7.562160105,34.21282516,0.605491503,3,5,2,47.683039,-122.113949
4,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,Snoqualmie,WA 98065,7.959386377,19.31345382,0.892532496,3,5,2,47.514992,-121.869885
3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,Sammamish,WA 98074,7.095021468,33.51241054,0.32645507,3,5,2,47.626724,-122.046019
3,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,Federal Way,WA 98023,6.70055996,22.99152671,0.472057358,3,5,2,47.325787,-122.377458
4,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,Bothell,WA 98011,6.914442703,30.1026365,0.522184309,3,5,2,47.741767,-122.205029
3,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,Seattle,WA 98136,6.317630578,39.95218402,0.419622599,3,5,2,45.463571,-122.718923
4,3.25,2730,54014,1.0,0,0,3,1560,1170,2007,0,Renton,WA 98059,6.859682624,21.43094603,0.603650985,3,5,2,47.5132634,-122.1097657
4,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,Shoreline,WA 98155,6.36074285,32.61412019,0.74775745,3,5,2,47.753775,-122.324979
3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,Seattle,WA 98102,6.605479643,53.82956008,0.361369078,3,5,2,47.649841,-122.320906
4,2.75,2710,37277,2.0,0,0,3,2710,0,2000,0,Issaquah,WA 98027,6.070141424,30.175049,0.590506907,3,5,2,47.463368,-121.987306
4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,Seattle,WA 98115,7.608990677,52.72705627,0.639661098,3,5,2,47.6779995,-122.2691983
4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,Seattle,WA 98115,6.552606479,52.59560163,0.694634432,3,5,2,47.68170764,-122.26905323
4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,Kirkland,WA 98033,6.54788932,46.94727589,0.294687039,3,5,2,39.9325398,-75.1220224
3,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,Seattle,WA 98116,7.685164244,39.70064556,0.413142668,4,5,2,47.57141,-122.408102
3,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,Seattle,WA 98115,6.218582162,53.44904087,0.083231099,4,5,2,47.695388,-122.292099
5,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,Snoqualmie,WA 98065,7.802356216,27.35455706,0.041096662,4,5,2,47.533707,-121.8597942
3,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,Seattle,WA 98117,6.490620422,45.88743882,0.506685368,4,5,2,47.683274,-122.400098
3,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,Seattle,WA 98115,6.182380239,48.03713566,0.006247087,4,5,2,47.674657,-122.295047
4,2.5,3310,42998,2.0,0,0,3,3310,0,2001,0,Redmond,WA 98052,7.868323021,20.87070607,0.870295411,4,5,2,47.7231152,-122.1307852
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,Seattle,WA 98105,6.85237045,58.11719927,0.632999026,4,5,2,47.655016,-122.277808
3,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,Snoqualmie,WA 98065,6.4636882,45.27979131,0.22399648,2,5,3,47.532523,-121.762925
3,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,Issaquah,WA 98027,6.520531852,31.91937794,0.39789937,2,5,3,47.482071,-122.016684
4,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,Renton,WA 98059,6.836105688,29.23092958,0.919304714,3,5,3,47.490944,-122.143946
4,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,Auburn,WA 98092,7.073425123,17.84117072,0.180309302,2,5,4,47.265714,-122.216117
3,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,Renton,WA 98058,6.046779165,26.66874788,0.230131761,2,5,4,47.439528,-122.160901
4,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,Seattle,WA 98122,6.270899122,41.8003431,0.805382111,3,5,4,42.960591,-78.861854
2,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,Redmond,WA 98053,6.055589845,46.35523645,0.507155438,4,5,4,47.716935,-122.026167
3,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,Seattle,WA 98122,6.243772672,42.64539794,0.553386491,4,5,4,42.960644,-78.863916
2,1.0,810,7158,1.0,0,0,5,810,0,1944,0,Burien,WA 98168,7.296828326,33.86740683,0.111601625,1,5,5,47.4882002,-122.3249055
4,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,Federal Way,WA 98023,7.591894639,22.2227672,0.148129404,1,5,5,47.320557,-122.396914
2,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,Des Moines,WA 98198,7.72684238,20.77450855,0.631996939,1,5,5,47.4204096,-122.3238395
3,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,Auburn,WA 98001,6.049017282,20.3475122,0.154225582,1,5,5,47.331764,-122.267584
3,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,Renton,WA 98059,6.858465508,17.69037562,0.599995338,1,5,5,47.487131,-122.099089
3,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,Seattle,WA 98118,6.775490428,27.00854759,0.532693893,1,5,5,47.523912,-122.286814
3,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,Duvall,WA 98019,6.198315033,41.94284058,0.432909834,2,5,5,47.734129,-121.976094
4,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,Maple Valley,WA 98038,7.595682627,17.61409043,0.023505356,2,5,5,47.3614458,-122.0349594
3,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,Renton,WA 98055,6.974961159,23.27272804,0.087368553,2,5,5,47.443811,-122.190068
4,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,Auburn,WA 98092,6.745857027,18.17293549,0.854242869,2,5,5,47.332766,-122.173121
2,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,Seattle,WA 98133,6.577604475,40.38412794,0.785663493,2,5,5,47.731023,-122.341006
5,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,Kirkland,WA 98034,7.428402362,34.95125611,0.734301221,2,5,5,47.729605,-122.240111
2,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,Seattle,WA 98144,6.508539724,44.08489385,0.76535714,2,5,5,47.591601,-122.295042
3,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,Seattle,WA 98125,6.167811556,36.69200454,0.901732409,2,5,5,47.733787,-122.309087
4,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,Shoreline,WA 98133,7.988727564,19.77954402,0.915439769,2,5,5,47.7771092,-122.3390898
5,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,Federal Way,WA 98023,7.839322233,13.78347004,0.510408619,2,5,5,39.82822074,-84.9040637
3,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,Seattle,WA 98144,7.545823175,23.69181503,0.002764091,2,5,5,47.580123,-122.305841
2,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,Shoreline,WA 98155,6.737409588,25.49122374,0.586565484,2,5,5,47.750465,-122.305976
2,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,Seattle,WA 98136,7.900756381,55.14548224,0.781462605,2,5,5,47.524633,-122.39091
2,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,Seattle,WA 98136,6.625341022,42.62160519,0.832633503,2,5,5,47.5220694,-122.3899851
3,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,Seattle,WA 98103,6.908543321,41.24035337,0.475519659,2,5,5,47.6916242,-122.3399904
3,2.25,1800,36704,1.0,0,0,4,1360,440,1978,2000,Issaquah,WA 98027,7.950086786,25.48333982,0.155344169,2,5,5,47.468794,-122.013022
3,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,Issaquah,WA 98029,7.327000148,34.65283441,0.503238885,2,5,5,46.88063573,-96.69069089
3,2.5,1408,989,3.0,0,0,3,1408,0,2005,0,Seattle,WA 98115,6.118290625,48.09515702,0.325188329,2,5,5,47.685626,-122.315207
3,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,Seattle,WA 98103,6.595839667,44.50918476,0.102044841,2,5,5,33.431604,-111.621981
2,2.5,1590,1426,2.0,0,0,3,1590,0,2014,0,Issaquah,WA 98029,7.330179162,35.59332312,0.416189243,2,5,5,47.544207,-122.01294
5,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,Seattle,WA 98133,6.53865355,35.9376749,0.043521241,2,5,5,47.730807,-122.339987
4,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,Seattle,WA 98133,7.602079056,38.24649748,0.647986373,2,5,5,47.704135,-122.3519
3,2.5,3040,4535,2.0,0,0,3,3040,0,2007,0,Renton,WA 98056,7.516168047,20.74148588,0.119541199,2,5,5,47.510022,-122.184884
4,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,Kirkland,WA 98034,6.458344621,30.77687422,0.436827079,2,5,5,47.730823,-122.227086
4,1.75,2010,9211,1.0,0,0,3,1470,540,1977,2004,Kirkland,WA 98034,7.811246113,27.18221119,0.845147531,2,5,5,47.720504,-122.170893
4,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,Snoqualmie,WA 98065,7.7491122,21.08736288,0.467702963,2,5,5,47.5402249,-121.886909
4,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,Bellevue,WA 98008,7.055712921,32.97635943,0.365105238,3,5,5,47.631989,-122.118981
3,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,Issaquah,WA 98027,6.034671033,47.05977576,0.095584981,3,5,5,47.564004,-122.092901
3,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,Seattle,WA 98199,7.113558836,45.30498427,0.541008913,3,5,5,47.651529,-122.399156
5,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,Bellevue,WA 98006,6.09387286,30.70426814,0.554060644,3,5,5,47.556242,-122.183805
4,2.5,2910,6338,2.0,0,0,3,2910,0,2008,0,Renton,WA 98059,6.341038861,29.17631044,0.264406739,3,5,5,47.480426,-122.126121
3,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,Issaquah,WA 98027,6.071957364,45.67067257,0.872843061,3,5,5,47.564459,-122.092987
3,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,Sammamish,WA 98074,7.310999816,36.48478406,0.832092975,3,5,5,47.61998,-122.042905
3,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,Redmond,WA 98052,6.278156551,44.4799862,0.231034997,3,5,5,47.691287,-122.115142
2,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,Seattle,WA 98118,6.116115297,34.8480701,0.902476934,3,5,5,47.526096,-122.260739
2,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998,Seattle,WA 98117,7.038668541,44.5317359,0.496659397,3,5,5,26.237974,-80.128526
3,1.75,1670,39639,1.0,0,0,4,1670,0,1976,1992,Sammamish,WA 98075,7.064966637,38.26699094,0.530291284,3,5,5,47.592912,-121.98804
3,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,Seattle,WA 98115,7.43392241,40.99982141,0.570979299,3,5,5,47.687832,-122.286042
4,1.75,2300,11700,1.0,0,0,4,1960,340,1977,0,Redmond,WA 98052,6.416538914,39.66931172,0.393730524,3,5,5,47.633133,-122.093893
3,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982,Seattle,WA 98115,7.315469218,44.25119854,0.978941841,3,5,5,47.67382,-122.297154
4,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,Issaquah,WA 98027,7.249852838,43.08621596,0.096336142,3,5,5,47.568786,-122.087163
4,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,Seattle,WA 98117,7.57440661,33.48089222,0.254998288,3,5,5,47.69692642,-122.37142787
3,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,Seattle,WA 98177,6.67339354,43.21504964,0.45080127,3,5,5,47.7241323,-122.3688154
3,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,Seattle,WA 98105,7.704273264,50.98572821,0.654350427,3,5,5,47.660341,-122.290052
3,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,Issaquah,WA 98029,6.6463109,42.19950489,0.242756085,4,5,5,47.549315,-121.992925
4,2.5,2450,4247,2.0,0,0,3,2450,0,2013,1923,Redmond,WA 98052,7.618508304,36.67224695,0.856039474,4,5,5,47.705085,-122.111968
4,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,Renton,WA 98059,6.736605589,32.31258718,0.300129191,4,5,5,47.5149435,-122.1173614
4,2.5,2800,5900,1.0,0,0,3,1660,1140,1963,2008,Seattle,WA 98115,7.553723257,33.7219367,0.69735961,4,5,5,47.680931,-122.285834
4,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,Bellevue,WA 98005,7.402041283,46.68081903,0.297545028,4,5,5,47.585745,-122.169983
3,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,Seattle,WA 98112,7.767724558,40.81902087,0.56200521,4,5,5,47.638936,-122.310033
4,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,Sammamish,WA 98074,6.387260194,44.33897571,0.104336536,4,5,5,47.622702,-122.029095
3,2.5,3240,7857,2.0,0,0,3,3240,0,1994,0,Sammamish,WA 98075,6.909407491,33.9943749,0.718135887,4,5,5,47.585519,-122.038282
5,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,Kirkland,WA 98033,6.663166777,33.84671427,0.90978183,4,5,5,47.6519241,-122.1821734
6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,Seattle,WA 98122,7.871275749,34.20826756,0.933848515,4,5,5,31.20697474,-83.79758754
4,2.5,3400,9692,2.0,0,0,3,3400,0,2007,0,Redmond,WA 98052,7.792567538,29.98246108,0.471665458,4,5,5,47.707956,-122.10927
4,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,Seattle,WA 98112,7.088075843,53.14707104,0.477501922,4,5,5,27.47244533,-82.56261297
4,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,Sammamish,WA 98075,6.062798931,38.18821845,0.177805433,4,5,5,47.593534,-121.982121
4,4.25,4420,5750,2.0,0,0,3,3410,1010,2006,0,Issaquah,WA 98027,7.821919405,25.00611621,0.566222655,4,5,5,47.5402983,-122.0728042
5,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,0,Issaquah,WA 98027,6.28604995,30.9453368,0.439797692,4,5,5,47.5396404,-122.0728223
5,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,Bellevue,WA 98006,7.330325503,40.58254727,0.653300943,4,5,5,47.5641085,-122.1598595
5,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,Seattle,WA 98105,6.285942376,54.34275984,0.471127878,4,5,5,47.657767,-122.285865
7,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,Redmond,WA 98053,7.442177152,14.36791487,0.363345796,4,5,5,47.6674455,-121.9858747
3,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,Federal Way,WA 98023,7.274198783,11.21269518,0.331343367,1,5,6,47.307569,-122.362018
3,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,Renton,WA 98057,6.203209507,21.02726981,0.991421676,1,5,6,37.97408978,-87.5716225
3,1.5,800,8850,1.0,0,0,4,800,0,1959,0,Federal Way,WA 98023,7.99793349,20.96490151,0.803304816,1,5,6,25.4818214,-80.46640405
3,1.75,1690,7735,1.0,0,0,4,1060,630,1976,1992,Auburn,WA 98001,6.403011363,14.33659698,0.845239114,1,5,6,47.332408,-122.279819
3,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,Federal Way,WA 98023,7.304641389,16.11566936,0.003910768,1,5,6,47.297478,-122.369944
2,1.0,900,5160,1.0,0,0,3,900,0,1952,2008,Seattle,WA 98106,6.026750745,37.44938414,0.51037653,1,5,6,47.524951,-122.356046
3,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,Covington,WA 98042,6.912240622,17.17783945,0.987091488,1,5,6,47.375047,-122.139736
3,1.0,1050,6874,1.0,0,0,3,1050,0,1954,2005,Shoreline,WA 98133,6.709705365,34.83412808,0.099450933,1,5,6,47.762002,-122.355303
3,2.5,1650,13816,2.0,0,0,3,1650,0,1998,2006,Carnation,WA 98014,6.377775256,19.38003374,0.772368618,1,5,6,47.65524827,-121.91196918
3,1.75,1580,8151,1.0,0,1,4,1100,480,1962,0,Des Moines,WA 98198,7.545590932,18.92372086,0.882717613,1,5,6,47.367149,-122.311931
3,2.25,1970,11088,1.0,0,0,4,1180,790,1967,0,Lake Forest Park,WA 98155,7.447117983,13.88529598,0.923918147,1,5,6,47.764785,-122.276916
3,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,North Bend,WA 98045,6.37180511,22.47601045,0.619296129,1,5,6,47.486293,-121.72963
4,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,Kent,WA 98042,7.262736465,17.19430384,0.874788592,1,5,6,47.373367,-122.128622
3,2.25,1980,8000,1.0,0,0,4,1560,420,1974,0,Federal Way,WA 98023,6.033263716,23.82110941,0.216224399,1,5,6,47.314881,-122.378197
4,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,Seattle,WA 98146,6.741871239,30.43001107,0.952500504,2,5,6,47.507083,-122.369073
3,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,Seattle,WA 98115,7.857909498,23.76977481,0.667600595,2,5,6,47.696525,-122.32398
4,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,Seattle,WA 98106,7.039593149,23.58560983,0.258388274,2,5,6,47.550949,-122.356294
2,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,Seattle,WA 98117,7.767954241,57.89920477,0.106344108,2,5,6,47.7001009,-122.3616756
4,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,Renton,WA 98058,7.315431444,19.03981183,0.726288555,2,5,6,47.4444102,-122.1819599
3,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001,Seattle,WA 98115,6.941293279,43.14853523,0.28922869,2,5,6,47.697723,-122.291967
3,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988,Seattle,WA 98125,7.80106809,33.15129511,0.064078235,2,5,6,47.709854,-122.291102
4,2.0,2680,18768,1.0,0,0,5,2680,0,1965,0,Auburn,WA 98001,7.685638568,12.5913648,0.697770274,2,5,6,47.31771,-122.27936
3,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0,Burien,WA 98148,7.347036227,21.38125251,0.988334114,2,5,6,47.4476452,-122.3315913
3,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,Seattle,WA 98133,6.786610867,39.14226847,0.307107333,2,5,6,47.729139,-122.339235
3,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,Shoreline,WA 98177,7.126380899,36.52400571,0.007266998,2,5,6,47.760875,-122.36078
3,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0,Seattle,WA 98103,6.195681903,47.00404153,0.011976373,2,5,6,47.69373,-122.34198
4,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,Kenmore,WA 98028,6.335647357,33.97620505,0.775689172,2,5,6,47.737311,-122.241315
3,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,Seattle,WA 98118,6.259495209,29.88172647,0.857115379,2,5,6,47.55487,-122.291917
3,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0,Newcastle,WA 98056,6.732067622,43.88295298,0.366850063,2,5,6,47.5390905,-122.1790133
5,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0,Seattle,WA 98144,6.815399691,18.57009549,0.711154748,2,5,6,47.5700428,-122.2961004
3,1.75,1260,6500,1.0,0,0,4,1260,0,1966,0,Bellevue,WA 98008,7.718289819,35.08251177,0.973132839,2,5,6,47.6224611,-122.1161854
4,2.0,1440,7680,1.0,0,0,3,1200,240,1971,0,Kirkland,WA 98034,7.342406238,36.32035044,0.230229621,2,5,6,47.724533,-122.199832
4,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004,Bellevue,WA 98008,7.567465929,24.3113073,0.80724122,2,5,6,47.6072384,-122.1246533
4,2.0,1520,7983,1.0,0,0,5,1520,0,1967,0,Inglewood-Finn Hill,WA 98034,7.179957532,34.9443241,0.761264942,2,5,6,47.73613666,-122.19259812
3,3.5,3020,4082,2.0,0,0,3,2080,940,1954,2004,Seattle,WA 98199,7.035427296,20.64025273,0.027511112,2,5,6,47.6506139,-122.40904593
5,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,Kirkland,WA 98034,6.407137289,29.99391245,0.49268862,2,5,6,47.719828,-122.170929
6,3.0,3470,117612,1.5,0,0,3,3470,0,1924,2011,Kenmore,WA 98028,6.941112469,19.12709066,0.017530777,2,5,6,47.76596,-122.233723
4,2.5,2740,45732,2.0,0,0,3,2740,0,1995,0,Woodinville,WA 98077,7.448757998,14.77136992,0.534343491,2,5,6,47.739988,-122.048374
